stock_code,name,EAN,qty_avail,qty_held,order_qty_min,order_qty_step,price,rrp,special,cost,image,description,category,subcategory,"Custom field 1","Custom field 2","Custom field 3","Custom field 4","Custom field 5","Custom field 6","Custom field 7","Custom field 8","Custom field 9"
SDP-RDDMWG001,"FLORAL FANTASY NECKLACE 18ct White Gold s=2.97gm Green Sapphire RBC 1=0.27ct RBC 6=0.55ct F/VS",SDP-RDDMWG001,1.00,,1,,2166.75,5450.00,,,SDP-RDDMWG001,"A beautiful, floral inspired pendant, featuring a multi-coloured cluster of Sapphires. This stunning piece is unique and vibrant, adding a pop of colour and sparkle to any look. This piece is crafted in 18ct White Gold.","Sapphire Dreams",Necklaces,"18ct White Gold s = 2.97gm","Green Sapphire Round Brilliant Cut 1 = 0.27ct","Round Brilliant Cut 6 = 0.55ct F/VS",,,,"W/H: 1.00",,"PS: 1.00"
SDP-RDDMWG004,"ROYAL BLOOM NECKLACE 18ct Yellow & White Gold=4.29gm Green Sapphire RBC 1=0.37ct Blue Sapphire RBC 4=0.55ct RBC 9=0.32ct F/VS",SDP-RDDMWG004,2.00,,1,,1940.00,4850.00,,,SDP-RDDMWG004,"An intricately designed pendant, featuring dark green, round cut Sapphires, complimented by white diamonds and set in 18ct white and yellow gold, this beautiful floral piece can elevate any look.","Sapphire Dreams",Necklaces,"18ct Yellow & White Gold = 4.29gm","Green Sapphire Round Brilliant Cut 1 = 0.37ct","Blue Sapphire Round Brilliant Cut 4 = 0.55ct","Round Brilliant Cut 9 = 0.32ct F/VS",,,"W/H: 2.00",,
SDP-RDDMWM001,"DAISY DELIGHT NECKLACE 18ct Yellow & White Gold s=4.59gm Multi Colour Cluster Sapphire RBC 17=1.43ct Pear Cut 4=0.21ct F/VS RBC 4=0.17ct F/VS",SDP-RDDMWM001,1.00,,1,,2340.00,5850.00,,,SDP-RDDMWM001,"This piece is a statement, floral inspired pendant, featuring a multi-coloured cluster of Sapphires and set in 18ct white and yellow gold. Unique and luxurious this piece will add a pop of colour to any look.","Sapphire Dreams",Necklaces,"18ct Yellow & White Gold s = 4.59gm","Multi Colour Cluster Sapphire Round Brilliant Cut 17 = 1.43ct","Pear Cut 4 = 0.21ct F/VS","Round Brilliant Cut 4 = 0.17ct F/VS",,,"W/H: 1.00",,
SDP-RDDMWM004,"FLORAL CARNIVAL NECKLACE 18ct Yellow & White Gold s=5.55gm Multi Colour Cluster Sapphire RBC 18=2.75ct RBC 5=0.17ct F/VS",SDP-RDDMWM004,1.00,,1,,1998.00,4995.00,,,SDP-RDDMWM004,"A beautiful, floral inspired pendant, featuring a multi-coloured cluster of Sapphires and set in 18ct white and yellow gold. Sport this unique piece to add luxury and a pop of colour to your look.","Sapphire Dreams",Necklaces,"18ct Yellow & White Gold s = 5.55gm","Multi Colour Cluster Sapphire Round Brilliant Cut 18 = 2.75ct","Round Brilliant Cut 5 = 0.17ct F/VS",,,,"W/H: 1.00 - Appro: 1",,
SDP-RDDMWM005,"DREAMY WILDFLOWER NECKLACE 18ct Yellow & White Gold=3.97gm Teal Sapphire RBC 1=0.14ct Yellow Sapphire RBC 9=0.79ct Green Sapphire RBC 2=0.33ct Pear Cut 4=0.21ct F/VS",SDP-RDDMWM005,1.00,,1,,1940.00,4850.00,,,SDP-RDDMWM005,"A floral inspired pendant, featuring a multi-coloured cluster of Sapphires, surrounded by pear cut diamonds, set in 18ct white and yellow gold.","Sapphire Dreams",Necklaces,"18ct Yellow & White Gold = 3.97gm","Teal Sapphire Round Brilliant Cut 1 = 0.14ct","Yellow Sapphire Round Brilliant Cut 9 = 0.79ct","Green Sapphire Round Brilliant Cut 2 = 0.33ct","Pear Cut 4 = 0.21ct F/VS",,"W/H: 1.00",,
SDP-RDDMWM007,"PETITE BUTTERFLY NECKLACE 18ct Yellow & White Gold=4.81gm Green Sapphire RBC 2=0.21ct Teal Sapphire RBC 1=0.14ct Yellow Sapphire RBC 1=0.23ct RBC 12=0.29ct F/VS",SDP-RDDMWM007,2.00,,1,,1598.00,3995.00,,,SDP-RDDMWM007,"A subtle, yet detailed multi-colour cluster of Sapphires, surrounded by white diamonds, set in 18ct white and yellow gold, this pendant is subtle and beautiful, the perfect addition to any collection.","Sapphire Dreams",Necklaces,"18ct Yellow & White Gold = 4.81gm","Green Sapphire Round Brilliant Cut 2 = 0.21ct","Teal Sapphire Round Brilliant Cut 1 = 0.14ct","Yellow Sapphire Round Brilliant Cut 1 = 0.23ct","Round Brilliant Cut 12 = 0.29ct F/VS",,"W/H: 1.00","MD: 1.00",
SDP-RDDMWM008,"DREAMY WILDFLOWER NECKLACE 18ct Yellow & White Gold=3.97gm Teal Sapphire RBC 1=0.13ct Yellow Sapphire RBC 9=0.48ct Green Sapphire RBC 2=0.29ct RBC 4=0.07ct F/VS Pear Cut 4=0.21ct F",SDP-RDDMWM008,1.00,,1,,1940.00,4850.00,,,SDP-RDDMWM008,"A floral inspired pendant, featuring a multi-coloured cluster of Sapphires, surrounded by pear cut diamonds, set in 18ct white and yellow gold.","Sapphire Dreams",Necklaces,"18ct Yellow & White Gold = 3.97gm","Teal Sapphire Round Brilliant Cut 1 = 0.13ct","Yellow Sapphire Round Brilliant Cut 9 = 0.48ct","Green Sapphire Round Brilliant Cut 2 = 0.29ct","Round Brilliant Cut 4 = 0.07ct F/VS","Pear Cut 4 = 0.21ct F/VS","W/H: 1.00",,
SDP-RDDMWM009,"WILDFLOWER FIELDS NECKLACE 18ct Yellow & White Gold s=5.61gm Multi Colour Cluster Sapphire RBC 16=2.06ct Trapezoid Cut 4=0.15ct F/VS",SDP-RDDMWM009,2.00,,1,,2140.00,5350.00,,,SDP-RDDMWM009,"A floral inspired pendant, featuring a multi-coloured cluster of Sapphires, surrounded by baguette cut diamonds, set in 18ct white and yellow gold.","Sapphire Dreams",Necklaces,"18ct Yellow & White Gold s = 5.61gm","Multi Colour Cluster Sapphire Round Brilliant Cut 16 = 2.06ct","Trapezoid Cut 4 = 0.15ct F/VS",,,,"W/H: 1.00","MD: 1.00",
SDP-RDDMWM010,"DAISY DELIGHT NECKLACE 18ct Yellow & White Gold s=4.59gm Multi Colour Cluster Sapphire RBC 17=1.43ct Pear Cut 4=0.21ct F/VS RBC 4=0.17ct",SDP-RDDMWM010,1.00,,1,,2140.00,5350.00,,,SDP-RDDMWM010,"This piece is a statement, floral inspired pendant, featuring a multi-coloured cluster of Sapphires and set in 18ct white and yellow gold. Unique and luxurious this piece will add a pop of colour to any look.","Sapphire Dreams",Necklaces,"18ct Yellow & White Gold s = 4.59gm","Multi Colour Cluster Sapphire Round Brilliant Cut 17 = 1.43ct","Pear Cut 4 = 0.21ct F/VS","Round Brilliant Cut 4 = 0.17ct",,,"W/H: 1.00",,
SDP-RDDMWT001,"FLORAL FANTASY NECKLACE 18ct White Gold s=3.08gm Teal Sapphire RBC 1=0.33ct RBC 6=0.55ct F/VS",SDP-RDDMWT001,1.00,,1,,2166.75,5450.00,,,SDP-RDDMWT001,"A beautiful, floral inspired pendant, featuring a multi-coloured cluster of Sapphires. This stunning piece is unique and vibrant, adding a pop of colour and sparkle to any look. This piece is crafted in 18ct White Gold.","Sapphire Dreams",Necklaces,"18ct White Gold s = 3.08gm","Teal Sapphire Round Brilliant Cut 1 = 0.33ct","Round Brilliant Cut 6 = 0.55ct F/VS",,,,"W/H: 1.00 - Appro: 1",,
SDP-RDDMWY001,"FLORAL FANTASY NECKLACE 18ct White Gold s=2.95gm Yellow Sapphire RBC 1=0.34ct RBC 6=0.55ct F/VS",SDP-RDDMWY001,1.00,,1,,2166.75,5450.00,,,SDP-RDDMWY001,"A beautiful, floral inspired pendant, featuring a multi-coloured cluster of Sapphires. This stunning piece is unique and vibrant, adding a pop of colour and sparkle to any look. This piece is crafted in 18ct White Gold.","Sapphire Dreams",Necklaces,"18ct White Gold s = 2.95gm","Yellow Sapphire Round Brilliant Cut 1 = 0.34ct","Round Brilliant Cut 6 = 0.55ct F/VS",,,,"W/H: 1.00 - Appro: 1",,"PS: 1.00"
SDP-RDDMYT001,"FLORAL FANTASY NECKLACE 18ct Yellow Gold s=3.14gm Teal Sapphire RBC 1=0.34ct RBC 6=0.55ct F/VS",SDP-RDDMYT001,1.00,,1,,2166.75,5450.00,,,SDP-RDDMYT001,"A beautiful, floral inspired pendant, featuring a multi-coloured cluster of Sapphires. This stunning piece is unique and vibrant, adding a pop of colour and sparkle to any look. This piece is crafted in 18ct Yellow Gold.","Sapphire Dreams",Necklaces,"18ct Yellow Gold s = 3.14gm","Teal Sapphire Round Brilliant Cut 1 = 0.34ct","Round Brilliant Cut 6 = 0.55ct F/VS",,,,"W/H: 1.00",,
SDP-RDDMYT002,"FLORAL FANTASY NECKLACE 18ct Yellow Gold s=3.16gm Teal Sapphire RBC 1=0.32ct RBC 6=0.55ct F/VS",SDP-RDDMYT002,1.00,,1,,2166.75,5450.00,,,SDP-RDDMYT002,"A beautiful, floral inspired pendant, featuring a multi-coloured cluster of Sapphires. This stunning piece is unique and vibrant, adding a pop of colour and sparkle to any look. This piece is crafted in 18ct Yellow Gold.","Sapphire Dreams",Necklaces,"18ct Yellow Gold s = 3.16gm","Teal Sapphire Round Brilliant Cut 1 = 0.32ct","Round Brilliant Cut 6 = 0.55ct F/VS",,,,"W/H: 1.00",,
SDP-RDDMYT003,"FLORAL FANTASY NECKLACE 18ct Yellow Gold s=3.13gm Teal Blue Sapphire RBC 1=0.38ct RBC 6=0.55ct F/VS",SDP-RDDMYT003,1.00,,1,,2166.75,5450.00,,,SDP-RDDMYT003,"A beautiful, floral inspired pendant, featuring a multi-coloured cluster of Sapphires. This stunning piece is unique and vibrant, adding a pop of colour and sparkle to any look. This piece is crafted in 18ct Yellow Gold.","Sapphire Dreams",Necklaces,"18ct Yellow Gold s = 3.13gm","Teal Blue Sapphire Round Brilliant Cut 1 = 0.38ct","Round Brilliant Cut 6 = 0.55ct F/VS",,,,"W/H: 1.00",,
SDP-RDDMYY001,"FLORAL FANTASY NECKLACE 18ct Yellow Gold s=3.13gm Yellow Sapphire RBC 1=0.31ct RBC 6=0.55ct F/VS",SDP-RDDMYY001,1.00,,1,,2166.75,5450.00,,,SDP-RDDMYY001,"A beautiful, floral inspired pendant, featuring a multi-coloured cluster of Sapphires. This stunning piece is unique and vibrant, adding a pop of colour and sparkle to any look. This piece is crafted in 18ct Yellow Gold.","Sapphire Dreams",Necklaces,"18ct Yellow Gold s = 3.13gm","Yellow Sapphire Round Brilliant Cut 1 = 0.31ct","Round Brilliant Cut 6 = 0.55ct F/VS",,,,"W/H: 1.00",,"PS: 1.00"
SDP-RDDMYY002,"DREAMY FRANGIPANI NECKLACE 18ct Yellow & White Gold s=4.50gm Yellow Sapphire RBC 4=0.64ct Pear Cut 4=0.20ct F/VS RBC 12=0.47ct F/VS",SDP-RDDMYY002,2.00,,1,,2678.00,6695.00,,,SDP-RDDMYY002,"A beautiful, floral inspired, pendant, featuring 4 yellow, round cut Sapphires, surrounded by pear cut diamonds and set in 18ct white and yellow gold.","Sapphire Dreams",Necklaces,"18ct Yellow & White Gold s = 4.50gm","Yellow Sapphire Round Brilliant Cut 4 = 0.64ct","Pear Cut 4 = 0.20ct F/VS","Round Brilliant Cut 12 = 0.47ct F/VS",,,"W/H: 2.00",,
SDP-RDDSBM004,"PETITE WATER LILY NECKLACE 18ct Rose & White Gold=4.02gm Teal Sapphire RBC 3=0.12ct Yellow Sapphire RBC 4=0.16ct RBC 8=0.14ct F/VS",SDP-RDDSBM004,1.00,,1,,1380.00,3450.00,,,SDP-RDDSBM004,"An intricate chain, featuring teal and yellow Sapphires and diamonds, set in 18ct white and rose gold, this piece is stylish, the perfect elevated everyday necklace.","Sapphire Dreams",Necklaces,"18ct Rose & White Gold = 4.02gm","Teal Sapphire Round Brilliant Cut 3 = 0.12ct","Yellow Sapphire Round Brilliant Cut 4 = 0.16ct","Round Brilliant Cut 8 = 0.14ct F/VS",,,"W/H: 2.00",,
SDP-RDDSRB001,"DAPHNE NECKLACE 9ct Rose Gold=2.27gm 3.00mm Blue Sapphire RBC 1=0.20ct avg. incl. 9ct Rose Gold Chain 1.41gm 46cm",SDP-RDDSRB001,8.00,,1,,380.00,950.00,,,SDP-RDDSRB001,"Unique and stunning, our Daphne Pendant features a rope twist halo and an illusionary, floating Australian Sapphire. Daphne comes in 9ct Rose, White or Yellow Gold.","Sapphire Dreams",Necklaces,"9ct Rose Gold = 2.27gm","3.00mm Blue Sapphire Round Brilliant Cut 1 = 0.20ct avg.","incl. 9ct Rose Gold Chain 1.41gm 46cm",,,,"W/H: 8.00",,
SDP-RDDSRB002,"GWEN NECKLACE 9ct Rose Gold=2.67gm 3.00mm Blue Sapphire RBC 3=0.51ct avg. 2.00mm Blue Sapphire RBC 2=0.10ct avg. incl. 9ct RG Chain 1.51gm 47cm",SDP-RDDSRB002,9.00,,1,,478.00,1195.00,,,SDP-RDDSRB002,"Our Gwen Pendant features two different sets of Australian Sapphires that are eloquently arranged to sit along the neckline. It is crafted in 9ct Rose, White or Yellow Gold.","Sapphire Dreams",Necklaces,"9ct Rose Gold = 2.67gm","3.00mm Blue Sapphire Round Brilliant Cut 3 = 0.51ct avg.","2.00mm Blue Sapphire Round Brilliant Cut 2 = 0.10ct avg.","incl. 9ct RG Chain 1.51gm 47cm",,,"W/H: 8.00",,"PS: 1.00"
SDP-RDDSRB003,"ANA NECKLACE 9ct Rose Gold=2.47gm 3.00mm Blue Sapphire RBC 1=0.19ct avg. incl. 9ct Rose Gold Chain 1.45gm 48cm",SDP-RDDSRB003,11.00,,1,,420.00,1050.00,,,SDP-RDDSRB003,"The Ana Pendant features a classic design with a rope-rim twist. The chain is adjustable with three rings where you can connect the clasp to at 40cm, 43cm and 46cm. This necklace comes in 9ct Rose, White and Yellow Gold.","Sapphire Dreams",Necklaces,"9ct Rose Gold = 2.47gm","3.00mm Blue Sapphire Round Brilliant Cut 1 = 0.19ct avg.","incl. 9ct Rose Gold Chain 1.45gm 48cm",,,,"W/H: 11.00",,
SDP-RDDSRB004,"MISTY NECKLACE 9ct Rose Gold=2.65gm 3.00mm Blue Sapphire RBC 1=0.18ct avg. incl. 9ct Rose Gold Chain 1.36gm 44cm",SDP-RDDSRB004,5.00,,1,,380.00,950.00,,,SDP-RDDSRB004,"Giving luck to its wearer, our Misty Pendant features an Australian Sapphire within a four-leaf clover design. Misty is crafted in 9ct Rose, White and Yellow Gold.","Sapphire Dreams",Necklaces,"9ct Rose Gold = 2.65gm","3.00mm Blue Sapphire Round Brilliant Cut 1 = 0.18ct avg.","incl. 9ct Rose Gold Chain 1.36gm 44cm",,,,"W/H: 5.00 - Appro: 1",,
SDP-RDDSRT001,"DAPHNE NECKLACE 9ct Rose Gold=2.36gm 3.00mm Teal Sapphire RBC 1=0.18ct avg. incl. 9ct Rose Gold Chain 1.53gm 47cm",SDP-RDDSRT001,10.00,,1,,380.00,950.00,,,SDP-RDDSRT001,"Unique and stunning, our Daphne Pendant features a rope twist halo and an illusionary, floating Australian Sapphire. Daphne comes in 9ct Rose, White or Yellow Gold.","Sapphire Dreams",Necklaces,"9ct Rose Gold = 2.36gm","3.00mm Teal Sapphire Round Brilliant Cut 1 = 0.18ct avg.","incl. 9ct Rose Gold Chain 1.53gm 47cm",,,,"W/H: 10.00",,
SDP-RDDSRT002,"GWEN NECKLACE 9ct Rose Gold=2.65gm 3.00mm Teal Sapphire RBC 3=0.49ct avg. 2.00mm Blue Sapphire RBC 2=0.08ct avg. incl. 9ct RG Chain 1.53gm 47cm",SDP-RDDSRT002,6.00,,1,,460.00,1150.00,,,SDP-RDDSRT002,"Our Gwen Pendant features two different sets of Australian Sapphires that are eloquently arranged to sit along the neckline. It is crafted in 9ct Rose, White or Yellow Gold.","Sapphire Dreams",Necklaces,"9ct Rose Gold = 2.65gm","3.00mm Teal Sapphire Round Brilliant Cut 3 = 0.49ct avg.","2.00mm Blue Sapphire Round Brilliant Cut 2 = 0.08ct avg.","incl. 9ct RG Chain 1.53gm 47cm",,,"W/H: 6.00",,
SDP-RDDSRT003,"ANA NECKLACE 9ct Rose Gold=2.55gm 3.00mm Teal Sapphire RBC 1=0.17ct avg. incl. 9ct Rose Gold Chain 1.46gm 45cm",SDP-RDDSRT003,8.00,,1,,398.00,995.00,,,SDP-RDDSRT003,"The Ana Pendant features a classic design with a rope-rim twist. The chain is adjustable with three rings where you can connect the clasp to at 40cm, 43cm and 46cm. This necklace comes in 9ct Rose, White and Yellow Gold.","Sapphire Dreams",Necklaces,"9ct Rose Gold = 2.55gm","3.00mm Teal Sapphire Round Brilliant Cut 1 = 0.17ct avg.","incl. 9ct Rose Gold Chain 1.46gm 45cm",,,,"W/H: 8.00",,
SDP-RDDSRT004,"MISTY NECKLACE 9ct Rose Gold=2.73gm 3.00mm Teal Sapphire RBC 1=0.18ct avg. incl. 9ct Rose Gold Chain 1.54gm 47cm",SDP-RDDSRT004,8.00,,1,,358.00,895.00,,,SDP-RDDSRT004,"Giving luck to its wearer, our Misty Pendant features an Australian Sapphire within a four-leaf clover design. Misty is crafted in 9ct Rose, White and Yellow Gold.","Sapphire Dreams",Necklaces,"9ct Rose Gold = 2.73gm","3.00mm Teal Sapphire Round Brilliant Cut 1 = 0.18ct avg.","incl. 9ct Rose Gold Chain 1.54gm 47cm",,,,"W/H: 8.00",,
SDP-RDDSRT005,"MOONLIGHT MATILDA NECKLACE 18ct Rose Gold s=9.43gm Teal Sapphire RBC 12=1.66ct RBC 12=0.41ct F/VS",SDP-RDDSRT005,1.00,,1,,3198.00,7995.00,,,SDP-RDDSRT005,"This delicate chain is decorated with exquisite Round Cut Sapphires and Brilliant cut White Diamonds, set in 18ct Rose Gold. Whether for an everyday pop of colour or a vibrant occasion piece, this chain is elegant and classy.","Sapphire Dreams",Necklaces,"18ct Rose Gold s = 9.43gm","Teal Sapphire Round Brilliant Cut 12 = 1.66ct","Round Brilliant Cut 12 = 0.41ct F/VS",,,,"W/H: 1.00",,
SDP-RDDSWM001,"ALLEA NECKLACE 18ct White Gold=2.50gm Muli Colour Sapphire RBC 4=1.60ct RBC 2=0.01ct F/VS",SDP-RDDSWM001,1.00,,1,,1197.00,2995.00,,,SDP-RDDSWM001,"A unique representation of the sapphire colour spectrum, Allea showcases a cluster of different coloured stones arranged in a floral design.","Sapphire Dreams",Necklaces,"18ct White Gold = 2.50gm","Muli Colour Sapphire Round Brilliant Cut 4 = 1.60ct","Round Brilliant Cut 2 = 0.01ct F/VS",,,,"W/H: 1.00",,"PS: 1.00"
SDP-RDDSWM002,"ALLEA NECKLACE 18ct White Gold=2.40gm Muli Colour Sapphire RBC 4=1.47ct RBC 2=0.01ct F/VS",SDP-RDDSWM002,1.00,,1,,1197.00,2995.00,,,SDP-RDDSWM002,"A unique representation of the sapphire colour spectrum, Allea showcases a cluster of different coloured stones arranged in a floral design.","Sapphire Dreams",Necklaces,"18ct White Gold = 2.40gm","Muli Colour Sapphire Round Brilliant Cut 4 = 1.47ct","Round Brilliant Cut 2 = 0.01ct F/VS",,,,"W/H: 1.00","MD: 1.00",
SDP-RDDSWT001,"DAPHNE NECKLACE 9ct White Gold=2.55gm 3.00mm Teal Sapphire RBC 1=0.21ct avg. incl. 9ct White Gold Chain 1.72gm 48cm",SDP-RDDSWT001,10.00,,1,,398.00,995.00,,,SDP-RDDSWT001,"Unique and stunning, our Daphne Pendant features a rope twist halo and an illusionary, floating Australian Sapphire. Daphne comes in 9ct Rose, White or Yellow Gold.","Sapphire Dreams",Necklaces,"9ct White Gold = 2.55gm","3.00mm Teal Sapphire Round Brilliant Cut 1 = 0.21ct avg.","incl. 9ct White Gold Chain 1.72gm 48cm",,,,"W/H: 10.00",,
SDP-RDDSWT002,"GWEN NECKLACE 9ct White Gold=2.67gm 3.00mm Teal Sapphire RBC 3=0.48ct avg. 2.00mm Blue Sapphire RBC 2=0.08ct avg. incl. 9ct WG Chain 1.71gm 47cm",SDP-RDDSWT002,5.00,,1,,478.00,1195.00,,,SDP-RDDSWT002,"Our Gwen Pendant features two different sets of Australian Sapphires that are eloquently arranged to sit along the neckline. It is crafted in 9ct Rose, White or Yellow Gold.","Sapphire Dreams",Necklaces,"9ct White Gold = 2.67gm","3.00mm Teal Sapphire Round Brilliant Cut 3 = 0.48ct avg.","2.00mm Blue Sapphire Round Brilliant Cut 2 = 0.08ct avg.","incl. 9ct WG Chain 1.71gm 47cm",,,"W/H: 5.00",,
SDP-RDDSWT003,"ANA NECKLACE 9ct White Gold=2.74gm 3.00mm Teal Sapphire RBC 1=0.18ct avg. incl. 9ct White Gold Chain 1.72gm 48cm",SDP-RDDSWT003,9.00,,1,,420.00,1050.00,,,SDP-RDDSWT003,"The Ana Pendant features a classic design with a rope-rim twist. The chain is adjustable with three rings where you can connect the clasp to at 40cm, 43cm and 46cm. This necklace comes in 9ct Rose, White and Yellow Gold.","Sapphire Dreams",Necklaces,"9ct White Gold = 2.74gm","3.00mm Teal Sapphire Round Brilliant Cut 1 = 0.18ct avg.","incl. 9ct White Gold Chain 1.72gm 48cm",,,,"W/H: 9.00",,
SDP-RDDSWT004,"MISTY NECKLACE 9ct White Gold=2.83gm 3.00mm Teal Sapphire RBC 1=0.18ct avg. incl. 9ct White Gold Chain 1.69gm 48cm",SDP-RDDSWT004,8.00,,1,,398.00,995.00,,,SDP-RDDSWT004,"Giving luck to its wearer, our Misty Pendant features an Australian Sapphire within a four-leaf clover design. Misty is crafted in 9ct Rose, White and Yellow Gold.","Sapphire Dreams",Necklaces,"9ct White Gold = 2.83gm","3.00mm Teal Sapphire Round Brilliant Cut 1 = 0.18ct avg.","incl. 9ct White Gold Chain 1.69gm 48cm",,,,"W/H: 8.00 - Appro: 1",,
SDP-RDDSWY001,"DAPHNE NECKLACE 9ct White Gold=2.54gm 3.00mm Yellow Sapphire RBC 1=0.21ct avg. incl. 9ct White Gold Chain 1.67gm 48cm",SDP-RDDSWY001,8.00,,1,,398.00,995.00,,,SDP-RDDSWY001,"Unique and stunning, our Daphne Pendant features a rope twist halo and an illusionary, floating Australian Sapphire. Daphne comes in 9ct Rose, White or Yellow Gold.","Sapphire Dreams",Necklaces,"9ct White Gold = 2.54gm","3.00mm Yellow Sapphire Round Brilliant Cut 1 = 0.21ct avg.","incl. 9ct White Gold Chain 1.67gm 48cm",,,,"W/H: 8.00",,
SDP-RDDSWY002,"GWEN NECKLACE 9ct White Gold=2.99gm 3.00mm Yellow Sapphire RBC 3=0.46ct avg. 2.00mm Blue Sapphire RBC 2=0.08ct avg. incl. 9ct WG Chain 1.71gm 48cm",SDP-RDDSWY002,10.00,,1,,478.00,1195.00,,,SDP-RDDSWY002,"Our Gwen Pendant features two different sets of Australian Sapphires that are eloquently arranged to sit along the neckline. It is crafted in 9ct Rose, White or Yellow Gold.","Sapphire Dreams",Necklaces,"9ct White Gold = 2.99gm","3.00mm Yellow Sapphire Round Brilliant Cut 3 = 0.46ct avg.","2.00mm Blue Sapphire Round Brilliant Cut 2 = 0.08ct avg.","incl. 9ct WG Chain 1.71gm 48cm",,,"W/H: 9.00",,"PS: 1.00"
SDP-RDDSWY003,"ANA NECKLACE 9ct White Gold=2.75gm 3.00mm Green Yellow Sapphire RBC 1=0.18ct avg. incl. 9ct White Gold Chain 1.52gm 45cm",SDP-RDDSWY003,10.00,,1,,420.00,1050.00,,,SDP-RDDSWY003,"The Ana Pendant features a classic design with a rope-rim twist. The chain is adjustable with three rings where you can connect the clasp to at 40cm, 43cm and 46cm. This necklace comes in 9ct Rose, White and Yellow Gold.","Sapphire Dreams",Necklaces,"9ct White Gold = 2.75gm","3.00mm Green Yellow Sapphire Round Brilliant Cut 1 = 0.18ct avg.","incl. 9ct White Gold Chain 1.52gm 45cm",,,,"W/H: 10.00",,
SDP-RDDSWY004,"MISTY NECKLACE 9ct White Gold=2.84gm 3.00mm Yellow Sapphire RBC 1=0.15ct avg. incl. 9ct White Gold Chain 1.69gm 48cm",SDP-RDDSWY004,11.00,,1,,398.00,995.00,,,SDP-RDDSWY004,"Giving luck to its wearer, our Misty Pendant features an Australian Sapphire within a four-leaf clover design. Misty is crafted in 9ct Rose, White and Yellow Gold.","Sapphire Dreams",Necklaces,"9ct White Gold = 2.84gm","3.00mm Yellow Sapphire Round Brilliant Cut 1 = 0.15ct avg.","incl. 9ct White Gold Chain 1.69gm 48cm",,,,"W/H: 11.00 - Appro: 1",,
SDP-RDDSYB001,"DAPHNE NECKLACE 9ct Yellow Gold=2.34gm 3.00mm Blue Sapphire RBC 1=0.20ct avg. incl. 9ct Yellow Gold Chain 1.56gm 48cm",SDP-RDDSYB001,4.00,,1,,380.00,950.00,,,SDP-RDDSYB001,"Unique and stunning, our Daphne Pendant features a rope twist halo and an illusionary, floating Australian Sapphire. Daphne comes in 9ct Rose, White or Yellow Gold.","Sapphire Dreams",Necklaces,"9ct Yellow Gold = 2.34gm","3.00mm Blue Sapphire Round Brilliant Cut 1 = 0.20ct avg.","incl. 9ct Yellow Gold Chain 1.56gm 48cm",,,,"W/H: 3.00",,"PS: 1.00"
SDP-RDDSYB002,"GWEN NECKLACE 9ct Yellow Gold=2.72gm 3.00mm Blue Sapphire RBC 3=0.46ct avg. 2.00mm Blue Sapphire RBC 2=0.08ct avg. incl. 9ct YG Chain 1.59gm 47cm",SDP-RDDSYB002,7.00,,1,,478.00,1195.00,,,SDP-RDDSYB002,"Our Gwen Pendant features two different sets of Australian Sapphires that are eloquently arranged to sit along the neckline. It is crafted in 9ct Rose, White or Yellow Gold.","Sapphire Dreams",Necklaces,"9ct Yellow Gold = 2.72gm","3.00mm Blue Sapphire Round Brilliant Cut 3 = 0.46ct avg.","2.00mm Blue Sapphire Round Brilliant Cut 2 = 0.08ct avg.","incl. 9ct YG Chain 1.59gm 47cm",,,"W/H: 7.00",,
SDP-RDDSYB003,"ANA NECKLACE 9ct Yellow Gold=2.56gm 3.00mm Blue Sapphire RBC 1=0.18ct avg. incl. 9ct Yellow Gold Chain 1.42gm 45cm",SDP-RDDSYB003,8.00,,1,,420.00,1050.00,,,SDP-RDDSYB003,"The Ana Pendant features a classic design with a rope-rim twist. The chain is adjustable with three rings where you can connect the clasp to at 40cm, 43cm and 46cm. This necklace comes in 9ct Rose, White and Yellow Gold.","Sapphire Dreams",Necklaces,"9ct Yellow Gold = 2.56gm","3.00mm Blue Sapphire Round Brilliant Cut 1 = 0.18ct avg.","incl. 9ct Yellow Gold Chain 1.42gm 45cm",,,,"W/H: 8.00",,
SDP-RDDSYG001,"DAPHNE NECKLACE 9ct Yellow Gold=2.30gm 3.00mm Green Sapphire RBC 1=0.17ct avg. incl. 9ct Yellow Gold Chain 1.50gm 46cm",SDP-RDDSYG001,9.00,,1,,380.00,950.00,,,SDP-RDDSYG001,"Unique and stunning, our Daphne Pendant features a rope twist halo and an illusionary, floating Australian Sapphire. Daphne comes in 9ct Rose, White or Yellow Gold.","Sapphire Dreams",Necklaces,"9ct Yellow Gold = 2.30gm","3.00mm Green Sapphire Round Brilliant Cut 1 = 0.17ct avg.","incl. 9ct Yellow Gold Chain 1.50gm 46cm",,,,"W/H: 9.00",,
