SKU,Brand,Measurement,Stone_Intensity,Product_Type,Stone_Specifications,Stone_Shape,Collections,Carat_Weight,Stone_Colour,Treatment,Description,Centre_Stone_SKU
SDS01621,"Sapphire Dreams",7.00x5.00mm,1.16,"Loose sapphires","ID No.: 01621<br>Colour: BLUE<br>Shape: RADIANT<br>Weight: 1.16ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Radiant,SDS,1.16,Blue,,"An Australian Radiant cut Blue sapphire weighing 1.16ct and measures 7.00x5.00mm.",
SDS01622,"Sapphire Dreams",6.00x4.00mm,0.76,"Loose sapphires","ID No.: 01622<br>Colour: GREEN<br>Shape: EMERALD<br>Weight: 0.76ct<br>Size: 6.00x4.00mm<br>Origin: AUSTRALIA",Emerald,SDS,0.76,Green,,"An Australian Emerald cut Green sapphire weighing 0.76ct and measures 6.00x4.00mm.",
SDS01623,"Sapphire Dreams",6.00x4.00mm,0.92,"Loose sapphires","ID No.: 01623<br>Colour: GREEN<br>Shape: EMERALD<br>Weight: 0.92ct<br>Size: 6.00x4.00mm<br>Origin: AUSTRALIA",Emerald,SDS,0.92,Green,,"An Australian Emerald cut Green sapphire weighing 0.92ct and measures 6.00x4.00mm.",
SDS01624,"Sapphire Dreams",6.00x4.00mm,0.92,"Loose sapphires","ID No.: 01624<br>Colour: GREEN<br>Shape: EMERALD<br>Weight: 0.92ct<br>Size: 6.00x4.00mm<br>Origin: AUSTRALIA",Emerald,SDS,0.92,Green,,"An Australian Emerald cut Green sapphire weighing 0.92ct and measures 6.00x4.00mm.",
SDS01625,"Sapphire Dreams",6.00x4.00mm,0.94,"Loose sapphires","ID No.: 01625<br>Colour: GREEN<br>Shape: EMERALD<br>Weight: 0.94ct<br>Size: 6.00x4.00mm<br>Origin: AUSTRALIA",Emerald,SDS,0.94,Green,,"An Australian Emerald cut Green sapphire weighing 0.94ct and measures 6.00x4.00mm.",
SDS01626,"Sapphire Dreams",6.00x4.00mm,0.91,"Loose sapphires","ID No.: 01626<br>Colour: PARTI<br>Shape: OCTAGONAL<br>Weight: 0.91ct<br>Size: 6.00x4.00mm<br>Origin: AUSTRALIA",Octagonal,SDS,0.91,Parti,,"An Australian Octagonal cut Parti sapphire weighing 0.91ct and measures 6.00x4.00mm.",
SDS01627,"Sapphire Dreams",6.00x4.00mm,0.74,"Loose sapphires","ID No.: 01627<br>Colour: YELLOW<br>Shape: EMERALD<br>Weight: 0.74ct<br>Size: 6.00x4.00mm<br>Origin: AUSTRALIA",Emerald,SDS,0.74,Yellow,,"An Australian Emerald cut Yellow sapphire weighing 0.74ct and measures 6.00x4.00mm.",
SDS01628,"Sapphire Dreams",6.00x4.00mm,0.75,"Loose sapphires","ID No.: 01628<br>Colour: TEAL<br>Shape: OCTAGONAL<br>Weight: 0.75ct<br>Size: 6.00x4.00mm<br>Origin: AUSTRALIA",Octagonal,SDS,0.75,Teal,,"An Australian Octagonal cut Teal sapphire weighing 0.75ct and measures 6.00x4.00mm.",
SDS01629,"Sapphire Dreams",6.00x4.00mm,0.81,"Loose sapphires","ID No.: 01629<br>Colour: TEAL<br>Shape: EMERALD<br>Weight: 0.81ct<br>Size: 6.00x4.00mm<br>Origin: AUSTRALIA",Emerald,SDS,0.81,Teal,,"An Australian Emerald cut Teal sapphire weighing 0.81ct and measures 6.00x4.00mm.",
SDS01630,"Sapphire Dreams",6.00x4.00mm,0.83,"Loose sapphires","ID No.: 01630<br>Colour: TEAL<br>Shape: EMERALD<br>Weight: 0.83ct<br>Size: 6.00x4.00mm<br>Origin: AUSTRALIA",Emerald,SDS,0.83,Teal,,"An Australian Emerald cut Teal sapphire weighing 0.83ct and measures 6.00x4.00mm.",
SDS01631,"Sapphire Dreams",6.00x4.00mm,0.81,"Loose sapphires","ID No.: 01631<br>Colour: YELLOW<br>Shape: OCTAGONAL<br>Weight: 0.81ct<br>Size: 6.00x4.00mm<br>Origin: AUSTRALIA",Octagonal,SDS,0.81,Yellow,,"An Australian Octagonal cut Yellow sapphire weighing 0.81ct and measures 6.00x4.00mm.",
SDS01632,"Sapphire Dreams",7.50x5.00mm,1.52,"Loose sapphires","ID No.: 01632<br>Colour: PARTI<br>Shape: OCTAGONAL<br>Weight: 1.52ct<br>Size: 7.50x5.00mm<br>Origin: AUSTRALIA",Octagonal,SDS,1.52,Parti,,"An Australian Octagonal cut Parti sapphire weighing 1.52ct and measures 7.50x5.00mm.",
SDS01633,"Sapphire Dreams",7.00x5.00mm,1.08,"Loose sapphires","ID No.: 01633<br>Colour: BLUE<br>Shape: EMERALD<br>Weight: 1.08ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Emerald,SDS,1.08,Blue,,"An Australian Emerald cut Blue sapphire weighing 1.08ct and measures 7.00x5.00mm.",
SDS01634,"Sapphire Dreams",7.00x5.00mm,1.09,"Loose sapphires","ID No.: 01634<br>Colour: BLUE<br>Shape: EMERALD<br>Weight: 1.09ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Emerald,SDS,1.09,Blue,,"An Australian Emerald cut Blue sapphire weighing 1.09ct and measures 7.00x5.00mm.",
SDS01635,"Sapphire Dreams",7.00x5.00mm,1.33,"Loose sapphires","ID No.: 01635<br>Colour: GREEN<br>Shape: EMERALD<br>Weight: 1.33ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Emerald,SDS,1.33,Green,,"An Australian Emerald cut Green sapphire weighing 1.33ct and measures 7.00x5.00mm.",
SDS01636,"Sapphire Dreams",7.00x5.00mm,1.16,"Loose sapphires","ID No.: 01636<br>Colour: GREEN<br>Shape: OCTAGONAL<br>Weight: 1.16ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Octagonal,SDS,1.16,Green,,"An Australian Octagonal cut Green sapphire weighing 1.16ct and measures 7.00x5.00mm.",
SDS01637,"Sapphire Dreams",7.40x5.00mm,1.15,"Loose sapphires","ID No.: 01637<br>Colour: TEAL<br>Shape: EMERALD<br>Weight: 1.15ct<br>Size: 7.40x5.00mm<br>Origin: AUSTRALIA",Emerald,SDS,1.15,Teal,,"An Australian Emerald cut Teal sapphire weighing 1.15ct and measures 7.40x5.00mm.",
SDS01638,"Sapphire Dreams",9.90x8.00mm,3.86,"Loose sapphires","ID No.: 01638<br>Colour: TEAL<br>Shape: EMERALD<br>Weight: 3.86ct<br>Size: 9.90x8.00mm<br>Origin: AUSTRALIA",Emerald,SDS,3.86,Teal,,"An Australian Emerald cut Teal sapphire weighing 3.86ct and measures 9.90x8.00mm.",
SDS01639,"Sapphire Dreams",8.70x6.50mm,2.30,"Loose sapphires","ID No.: 01639<br>Colour: PARTI <br>Shape: EMERALD<br>Weight: 2.30ct<br>Size: 8.70x6.50mm<br>Origin: AUSTRALIA",Emerald,SDS,2.30,"Parti ",Unheated,"An unheated Australian Emerald cut Parti  sapphire weighing 2.30ct and measures 8.70x6.50mm.",
SDS01640,"Sapphire Dreams",7.00x5.00mm,0.98,"Loose sapphires","ID No.: 01640<br>Colour: GREEN PARTI<br>Shape: OVAL<br>Weight: 0.98ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.98,"Green Parti",,"An Australian Oval cut Green Parti sapphire weighing 0.98ct and measures 7.00x5.00mm.",
SDS01641,"Sapphire Dreams",7.10x5.30mm,0.92,"Loose sapphires","ID No.: 01641<br>Colour: GREEN PARTI<br>Shape: OVAL<br>Weight: 0.92ct<br>Size: 7.10x5.30mm<br>Origin: AUSTRALIA",Oval,SDS,0.92,"Green Parti",,"An Australian Oval cut Green Parti sapphire weighing 0.92ct and measures 7.10x5.30mm.",
SDS01642,"Sapphire Dreams",7.10x5.00mm,1.08,"Loose sapphires","ID No.: 01642<br>Colour: YELLOW PARTI <br>Shape: OVAL<br>Weight: 1.08ct<br>Size: 7.10x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.08,"Yellow Parti ",Unheated,"An unheated Australian Oval cut Yellow Parti  sapphire weighing 1.08ct and measures 7.10x5.00mm.",
SDS01643,"Sapphire Dreams",6.80x4.90mm,0.77,"Loose sapphires","ID No.: 01643<br>Colour: YELLOW<br>Shape: OVAL<br>Weight: 0.77ct<br>Size: 6.80x4.90mm<br>Origin: AUSTRALIA",Oval,SDS,0.77,Yellow,,"An Australian Oval cut Yellow sapphire weighing 0.77ct and measures 6.80x4.90mm.",
SDS01645,"Sapphire Dreams",7.00x5.00mm,0.94,"Loose sapphires","ID No.: 01645<br>Colour: YELLOW<br>Shape: OVAL<br>Weight: 0.94ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.94,Yellow,,"An Australian Oval cut Yellow sapphire weighing 0.94ct and measures 7.00x5.00mm.",
SDS01646,"Sapphire Dreams",7.00x5.00mm,0.98,"Loose sapphires","ID No.: 01646<br>Colour: YELLOW<br>Shape: OVAL<br>Weight: 0.98ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.98,Yellow,,"An Australian Oval cut Yellow sapphire weighing 0.98ct and measures 7.00x5.00mm.",
SDS01647,"Sapphire Dreams",7.00x5.00mm,1.05,"Loose sapphires","ID No.: 01647<br>Colour: YELLOW<br>Shape: OVAL<br>Weight: 1.05ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.05,Yellow,,"An Australian Oval cut Yellow sapphire weighing 1.05ct and measures 7.00x5.00mm.",
SDS01648,"Sapphire Dreams",6.70x4.70mm,0.84,"Loose sapphires","ID No.: 01648<br>Colour: YELLOW<br>Shape: CUSHION<br>Weight: 0.84ct<br>Size: 6.70x4.70mm<br>Origin: AUSTRALIA",Cushion,SDS,0.84,Yellow,,"An Australian Cushion cut Yellow sapphire weighing 0.84ct and measures 6.70x4.70mm.",
SDS01649,"Sapphire Dreams",7.00x5.00mm,1.06,"Loose sapphires","ID No.: 01649<br>Colour: YELLOW<br>Shape: OVAL<br>Weight: 1.06ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.06,Yellow,,"An Australian Oval cut Yellow sapphire weighing 1.06ct and measures 7.00x5.00mm.",
SDS01650,"Sapphire Dreams",7.00x5.00mm,1.07,"Loose sapphires","ID No.: 01650<br>Colour: YELLOW<br>Shape: OVAL<br>Weight: 1.07ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.07,Yellow,,"An Australian Oval cut Yellow sapphire weighing 1.07ct and measures 7.00x5.00mm.",
SDS01651,"Sapphire Dreams",7.00x5.00mm,1.06,"Loose sapphires","ID No.: 01651<br>Colour: YELLOW<br>Shape: OVAL<br>Weight: 1.06ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.06,Yellow,,"An Australian Oval cut Yellow sapphire weighing 1.06ct and measures 7.00x5.00mm.",
SDS01652,"Sapphire Dreams",7.00x5.00mm,0.78,"Loose sapphires","ID No.: 01652<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 0.78ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.78,Blue,,"An Australian Oval cut Blue sapphire weighing 0.78ct and measures 7.00x5.00mm.",
SDS01653,"Sapphire Dreams",7.00x5.00mm,0.81,"Loose sapphires","ID No.: 01653<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 0.81ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.81,Blue,,"An Australian Oval cut Blue sapphire weighing 0.81ct and measures 7.00x5.00mm.",
SDS01654,"Sapphire Dreams",7.00x5.00mm,0.84,"Loose sapphires","ID No.: 01654<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 0.84ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.84,Blue,,"An Australian Oval cut Blue sapphire weighing 0.84ct and measures 7.00x5.00mm.",
SDS01655,"Sapphire Dreams",7.00x5.00mm,0.86,"Loose sapphires","ID No.: 01655<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 0.86ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.86,Blue,,"An Australian Oval cut Blue sapphire weighing 0.86ct and measures 7.00x5.00mm.",
SDS01656,"Sapphire Dreams",7.00x5.00mm,0.87,"Loose sapphires","ID No.: 01656<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 0.87ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.87,Blue,,"An Australian Oval cut Blue sapphire weighing 0.87ct and measures 7.00x5.00mm.",
SDS01657,"Sapphire Dreams",7.00x5.00mm,0.87,"Loose sapphires","ID No.: 01657<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 0.87ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.87,Blue,,"An Australian Oval cut Blue sapphire weighing 0.87ct and measures 7.00x5.00mm.",
SDS01658,"Sapphire Dreams",7.00x5.00mm,0.89,"Loose sapphires","ID No.: 01658<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 0.89ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.89,Blue,,"An Australian Oval cut Blue sapphire weighing 0.89ct and measures 7.00x5.00mm.",
SDS01659,"Sapphire Dreams",7.00x5.00mm,0.90,"Loose sapphires","ID No.: 01659<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 0.90ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.90,Blue,,"An Australian Oval cut Blue sapphire weighing 0.90ct and measures 7.00x5.00mm.",
SDS01660,"Sapphire Dreams",7.00x5.00mm,0.91,"Loose sapphires","ID No.: 01660<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 0.91ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.91,Blue,,"An Australian Oval cut Blue sapphire weighing 0.91ct and measures 7.00x5.00mm.",
SDS01661,"Sapphire Dreams",7.00x5.00mm,0.93,"Loose sapphires","ID No.: 01661<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 0.93ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.93,Blue,,"An Australian Oval cut Blue sapphire weighing 0.93ct and measures 7.00x5.00mm.",
SDS01662,"Sapphire Dreams",7.00x5.00mm,0.98,"Loose sapphires","ID No.: 01662<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 0.98ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.98,Blue,,"An Australian Oval cut Blue sapphire weighing 0.98ct and measures 7.00x5.00mm.",
SDS01663,"Sapphire Dreams",7.00x5.00mm,1.07,"Loose sapphires","ID No.: 01663<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 1.07ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.07,Blue,,"An Australian Oval cut Blue sapphire weighing 1.07ct and measures 7.00x5.00mm.",
SDS01664,"Sapphire Dreams",7.00x5.00mm,1.08,"Loose sapphires","ID No.: 01664<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 1.08ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.08,Blue,,"An Australian Oval cut Blue sapphire weighing 1.08ct and measures 7.00x5.00mm.",
SDS01665,"Sapphire Dreams",7.00x5.00mm,1.13,"Loose sapphires","ID No.: 01665<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 1.13ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.13,Blue,,"An Australian Oval cut Blue sapphire weighing 1.13ct and measures 7.00x5.00mm.",
SDS01666,"Sapphire Dreams",7.00x5.00mm,1.16,"Loose sapphires","ID No.: 01666<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 1.16ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.16,Blue,,"An Australian Oval cut Blue sapphire weighing 1.16ct and measures 7.00x5.00mm.",
SDS01667,"Sapphire Dreams",7.00x5.00mm,0.76,"Loose sapphires","ID No.: 01667<br>Colour: PARTI<br>Shape: OVAL<br>Weight: 0.76ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.76,Parti,,"An Australian Oval cut Parti sapphire weighing 0.76ct and measures 7.00x5.00mm.",
SDS01668,"Sapphire Dreams",7.00x5.00mm,0.84,"Loose sapphires","ID No.: 01668<br>Colour: PARTI<br>Shape: OVAL<br>Weight: 0.84ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.84,Parti,,"An Australian Oval cut Parti sapphire weighing 0.84ct and measures 7.00x5.00mm.",
SDS01669,"Sapphire Dreams",7.00x5.00mm,0.98,"Loose sapphires","ID No.: 01669<br>Colour: PARTI<br>Shape: OVAL<br>Weight: 0.98ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.98,Parti,,"An Australian Oval cut Parti sapphire weighing 0.98ct and measures 7.00x5.00mm.",
SDS01670,"Sapphire Dreams",7.00x5.00mm,1.00,"Loose sapphires","ID No.: 01670<br>Colour: PARTI<br>Shape: OVAL<br>Weight: 1.00ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.00,Parti,,"An Australian Oval cut Parti sapphire weighing 1.00ct and measures 7.00x5.00mm.",
SDS01671,"Sapphire Dreams",7.00x5.00mm,0.80,"Loose sapphires","ID No.: 01671<br>Colour: GREEN<br>Shape: OVAL<br>Weight: 0.80ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.80,Green,,"An Australian Oval cut Green sapphire weighing 0.80ct and measures 7.00x5.00mm.",
SDS01672,"Sapphire Dreams",7.00x5.00mm,0.83,"Loose sapphires","ID No.: 01672<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 0.83ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.83,Blue,,"An Australian Oval cut Blue sapphire weighing 0.83ct and measures 7.00x5.00mm.",
SDS01673,"Sapphire Dreams",7.00x5.00mm,0.90,"Loose sapphires","ID No.: 01673<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 0.90ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.90,Blue,,"An Australian Oval cut Blue sapphire weighing 0.90ct and measures 7.00x5.00mm.",
SDS01674,"Sapphire Dreams",7.00x5.00mm,0.94,"Loose sapphires","ID No.: 01674<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 0.94ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.94,Blue,,"An Australian Oval cut Blue sapphire weighing 0.94ct and measures 7.00x5.00mm.",
SDS01675,"Sapphire Dreams",7.00x5.00mm,1.02,"Loose sapphires","ID No.: 01675<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 1.02ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.02,Blue,,"An Australian Oval cut Blue sapphire weighing 1.02ct and measures 7.00x5.00mm.",
SDS01676,"Sapphire Dreams",7.00x5.00mm,0.76,"Loose sapphires","ID No.: 01676<br>Colour: TEAL BLUE<br>Shape: OVAL<br>Weight: 0.76ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.76,"Teal Blue",,"An Australian Oval cut Teal Blue sapphire weighing 0.76ct and measures 7.00x5.00mm.",
SDS01677,"Sapphire Dreams",7.00x5.00mm,0.79,"Loose sapphires","ID No.: 01677<br>Colour: TEAL BLUE<br>Shape: OVAL<br>Weight: 0.79ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.79,"Teal Blue",,"An Australian Oval cut Teal Blue sapphire weighing 0.79ct and measures 7.00x5.00mm.",
SDS01678,"Sapphire Dreams",7.00x5.00mm,0.81,"Loose sapphires","ID No.: 01678<br>Colour: TEAL BLUE<br>Shape: OVAL<br>Weight: 0.81ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.81,"Teal Blue",,"An Australian Oval cut Teal Blue sapphire weighing 0.81ct and measures 7.00x5.00mm.",
SDS01679,"Sapphire Dreams",7.00x5.00mm,0.83,"Loose sapphires","ID No.: 01679<br>Colour: TEAL BLUE<br>Shape: OVAL<br>Weight: 0.83ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.83,"Teal Blue",,"An Australian Oval cut Teal Blue sapphire weighing 0.83ct and measures 7.00x5.00mm.",
SDS01680,"Sapphire Dreams",7.00x5.00mm,0.89,"Loose sapphires","ID No.: 01680<br>Colour: TEAL BLUE<br>Shape: OVAL<br>Weight: 0.89ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.89,"Teal Blue",,"An Australian Oval cut Teal Blue sapphire weighing 0.89ct and measures 7.00x5.00mm.",
SDS01681,"Sapphire Dreams",7.00x5.00mm,0.89,"Loose sapphires","ID No.: 01681<br>Colour: TEAL BLUE<br>Shape: OVAL<br>Weight: 0.89ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.89,"Teal Blue",,"An Australian Oval cut Teal Blue sapphire weighing 0.89ct and measures 7.00x5.00mm.",
SDS01682,"Sapphire Dreams",7.00x5.00mm,0.90,"Loose sapphires","ID No.: 01682<br>Colour: TEAL BLUE<br>Shape: OVAL<br>Weight: 0.90ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.90,"Teal Blue",,"An Australian Oval cut Teal Blue sapphire weighing 0.90ct and measures 7.00x5.00mm.",
SDS01683,"Sapphire Dreams",7.00x5.00mm,0.93,"Loose sapphires","ID No.: 01683<br>Colour: TEAL BLUE<br>Shape: OVAL<br>Weight: 0.93ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.93,"Teal Blue",,"An Australian Oval cut Teal Blue sapphire weighing 0.93ct and measures 7.00x5.00mm.",
SDS01684,"Sapphire Dreams",7.00x5.00mm,1.00,"Loose sapphires","ID No.: 01684<br>Colour: TEAL BLUE<br>Shape: OVAL<br>Weight: 1.00ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.00,"Teal Blue",,"An Australian Oval cut Teal Blue sapphire weighing 1.00ct and measures 7.00x5.00mm.",
SDS01685,"Sapphire Dreams",7.00x5.00mm,1.04,"Loose sapphires","ID No.: 01685<br>Colour: TEAL<br>Shape: OVAL<br>Weight: 1.04ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.04,Teal,,"An Australian Oval cut Teal sapphire weighing 1.04ct and measures 7.00x5.00mm.",
SDS01686,"Sapphire Dreams",7.00x5.00mm,1.07,"Loose sapphires","ID No.: 01686<br>Colour: TEAL BLUE<br>Shape: OVAL<br>Weight: 1.07ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.07,"Teal Blue",,"An Australian Oval cut Teal Blue sapphire weighing 1.07ct and measures 7.00x5.00mm.",
SDS01687,"Sapphire Dreams",7.00x5.00mm,1.12,"Loose sapphires","ID No.: 01687<br>Colour: TEAL BLUE<br>Shape: OVAL<br>Weight: 1.12ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.12,"Teal Blue",,"An Australian Oval cut Teal Blue sapphire weighing 1.12ct and measures 7.00x5.00mm.",
SDS01688,"Sapphire Dreams",7.00x5.00mm,0.76,"Loose sapphires","ID No.: 01688<br>Colour: TEAL<br>Shape: OVAL<br>Weight: 0.76ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.76,Teal,,"An Australian Oval cut Teal sapphire weighing 0.76ct and measures 7.00x5.00mm.",
SDS01689,"Sapphire Dreams",7.00x5.00mm,0.78,"Loose sapphires","ID No.: 01689<br>Colour: TEAL<br>Shape: OVAL<br>Weight: 0.78ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.78,Teal,,"An Australian Oval cut Teal sapphire weighing 0.78ct and measures 7.00x5.00mm.",
SDS01690,"Sapphire Dreams",7.00x5.00mm,0.86,"Loose sapphires","ID No.: 01690<br>Colour: TEAL<br>Shape: OVAL<br>Weight: 0.86ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.86,Teal,,"An Australian Oval cut Teal sapphire weighing 0.86ct and measures 7.00x5.00mm.",
SDS01691,"Sapphire Dreams",7.00x5.00mm,0.87,"Loose sapphires","ID No.: 01691<br>Colour: TEAL<br>Shape: OVAL<br>Weight: 0.87ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.87,Teal,,"An Australian Oval cut Teal sapphire weighing 0.87ct and measures 7.00x5.00mm.",
SDS01692,"Sapphire Dreams",7.00x5.00mm,0.94,"Loose sapphires","ID No.: 01692<br>Colour: TEAL<br>Shape: OVAL<br>Weight: 0.94ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.94,Teal,,"An Australian Oval cut Teal sapphire weighing 0.94ct and measures 7.00x5.00mm.",
SDS01693,"Sapphire Dreams",7.00x5.00mm,1.08,"Loose sapphires","ID No.: 01693<br>Colour: WHITE<br>Shape: OVAL<br>Weight: 1.08ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.08,White,,"An Australian Oval cut White sapphire weighing 1.08ct and measures 7.00x5.00mm.",
SDS01694,"Sapphire Dreams",7.70x5.70mm,1.00,"Loose sapphires","ID No.: 01694<br>Colour: PARTI <br>Shape: OVAL<br>Weight: 1.00ct<br>Size: 7.70x5.70mm<br>Origin: AUSTRALIA",Oval,SDS,1.00,"Parti ",Unheated,"An unheated Australian Oval cut Parti  sapphire weighing 1.00ct and measures 7.70x5.70mm.",
SDS01695,"Sapphire Dreams",7.10x5.10mm,0.99,"Loose sapphires","ID No.: 01695<br>Colour: BLUE <br>Shape: OVAL<br>Weight: 0.99ct<br>Size: 7.10x5.10mm<br>Origin: AUSTRALIA",Oval,SDS,0.99,"Blue ",Unheated,"An unheated Australian Oval cut Blue  sapphire weighing 0.99ct and measures 7.10x5.10mm.",
SDS01696,"Sapphire Dreams",7.50x5.90mm,1.29,"Loose sapphires","ID No.: 01696<br>Colour: PARTI <br>Shape: OVAL<br>Weight: 1.29ct<br>Size: 7.50x5.90mm<br>Origin: AUSTRALIA",Oval,SDS,1.29,"Parti ",Unheated,"An unheated Australian Oval cut Parti  sapphire weighing 1.29ct and measures 7.50x5.90mm.",
SDS01697,"Sapphire Dreams",7.80x5.80mm,1.44,"Loose sapphires","ID No.: 01697<br>Colour: BLUE <br>Shape: OVAL<br>Weight: 1.44ct<br>Size: 7.80x5.80mm<br>Origin: AUSTRALIA",Oval,SDS,1.44,"Blue ",Unheated,"An unheated Australian Oval cut Blue  sapphire weighing 1.44ct and measures 7.80x5.80mm.",
SDS01698,"Sapphire Dreams",8.50x6.40mm,1.60,"Loose sapphires","ID No.: 01698<br>Colour: TEAL BLUE <br>Shape: OVAL<br>Weight: 1.60ct<br>Size: 8.50x6.40mm<br>Origin: AUSTRALIA",Oval,SDS,1.60,"Teal Blue ",Unheated,"An unheated Australian Oval cut Teal Blue  sapphire weighing 1.60ct and measures 8.50x6.40mm.",
SDS01699,"Sapphire Dreams",8.80x7.00mm,1.84,"Loose sapphires","ID No.: 01699<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 1.84ct<br>Size: 8.80x7.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.84,Blue,,"An Australian Oval cut Blue sapphire weighing 1.84ct and measures 8.80x7.00mm.",
